verbose,filtered_extract_challenge_data_path,model_name_or_path,teacher_model,cache_dir,method,contrastive_coef,strat,relu_threshold,weight_subtraction_coef,train_batch_size,num_epochs,lr,peft,rank,lora_alpha,train_num,gradient_accu,lr_sc,warmup_steps,weight_decay,dropout,early_stop,early_stop_criteria,num_epochs_su,lr_su,su_strength,focus,focus_dataset,focus_coeff,focus_type,focus_hard,do_sample,top_k,cd_num_token,DP,DP_coef,early_stop_epoch,wikitext_perplexity,wikitext_rep_2,wikitext_rep_3,wikitext_rep_4,wikitext_div_2,wikitext_div_3,wikitext_mauve,wikitext_coherence,wikitext_similarity_gen,news_perplexity,news_rep_2,news_rep_3,news_rep_4,news_div_2,news_div_3,news_mauve,news_coherence,news_similarity_gen,el_3,el_5,el_10,similarity_ul,ma,piqa_,ai2_arc_ARC-Easy,ai2_arc_ARC-Challenge,super_glue_copa,winogrande_winogrande_s,validation_data/pubmed_qa.csv_,hellaswag_
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,32.0,50.0,0.0001,lora,8.0,16.0,15000.0,2.0,,100.0,0.0,0.0,True,1.03,100.0,5e-06,3.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,,22.534220761916544,0.11118241063763208,0.04568007504902546,0.02543272548209092,0.8784739703870866,0.9338641587410041,0.6335522077005376,0.6053761634204439,0.40853995447008495,13.159610499901634,0.07833044889449665,0.03105259189510832,0.018582843056355682,0.9136656245399821,0.9527437468022286,0.7361590427163933,0.5872045874120705,0.5025016307682161,0.09262970760700992,0.05457633840394696,0.023682146580321993,0.4715016966022551,0.726,0.691579433497537,0.43773148148148144,0.43773148148148144,0.671875,0.5459292763157895,0.547265625,0.35794341009309166
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,32.0,50.0,0.0001,lora,8.0,16.0,15000.0,2.0,,100.0,0.0,0.0,True,1.03,100.0,5e-06,3.0,True,False,10.0,entity,True,True,50.0,1000.0,False,0.0,5.47945205479452,21.44666587926949,0.10401212437510907,0.03908131534183515,0.021252882990384882,0.8871506768538177,0.9423087944884769,0.7142041939594993,0.6051094696542699,0.40063571368099904,12.339628637329879,0.07453117628138343,0.027119172120788345,0.015010203854250002,0.9178495897433989,0.957209281652048,0.7499688611788307,0.5816639448067107,0.5030919424550602,0.06921145632224077,0.04357172379946725,0.023748445660731622,0.4495323127138409,0.6496134850762293,0.6948121921182266,0.43765432098765433,0.43765432098765433,0.65625,0.5485197368421052,0.53671875,0.36033194512493877
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,100.0,0.0,0.0,True,1.03,100.0,1e-07,3.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,2.3498666666666668,36.79599584195413,0.09447498816754904,0.032982778216054366,0.016920583590712728,0.8944107749321014,0.9463316022902037,0.48571690101397924,0.5740134360051364,0.389688130928533,18.929351515650172,0.06501560863765564,0.019915900565669543,0.009684169577753763,0.9264899478294248,0.9634298931933809,0.6401802339942152,0.5629327173726967,0.48566871583953397,0.09577609339838561,0.06135717744568,0.0318789223448722,0.4591188778240583,0.7535166666666666,0.6890394088669951,0.4388888888888889,0.4388888888888889,0.6640625,0.5532072368421053,0.547265625,0.3489864037236649
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,32.0,50.0,0.0001,lora,8.0,16.0,15000.0,2.0,,100.0,0.0,0.0,True,1.03,100.0,1e-06,10.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,9.381663113006397,26.143279401150554,0.1029343859763357,0.04087529485357228,0.023323569590690093,0.8868409130601985,0.9377343726710623,0.5844092428370068,0.596425131842064,0.3986640512122956,13.292888701923811,0.07625008372898243,0.029804401588828265,0.017871655272861848,0.9163019831836225,0.9546316931510763,0.7226103834518475,0.5774911827300174,0.5018625301202254,0.07383688401925342,0.03931163710805838,0.014784840982247392,0.42389533124719747,0.7123333333333334,0.7007389162561577,0.44930555555555557,0.44930555555555557,0.65625,0.5412417763157895,0.543359375,0.35694818716315535
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,32.0,50.0,0.0001,lora,8.0,16.0,15000.0,2.0,,100.0,0.0,0.0,True,1.03,100.0,1e-06,10.0,True,False,10.0,entity,True,True,50.0,1000.0,False,0.0,32.19178082191781,25.281430478493874,0.11044171427604091,0.04491439399494052,0.025525838413380315,0.8792066465208286,0.9346138475517859,0.5662104514576042,0.5925791511870687,0.397408276997329,13.025945352350815,0.08055548597306258,0.030844404052105815,0.017851330894379534,0.9118431582025963,0.9532418854704676,0.7095331102779613,0.58156509703374,0.49966969623056934,0.049669463636926516,0.02640941846030264,0.011964951836821608,0.417089680461485,0.6350654928065278,0.6985837438423645,0.4353395061728395,0.4353395061728395,0.65625,0.5493009868421053,0.546484375,0.3542610852523273
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,32.0,50.0,0.0001,lora,8.0,16.0,15000.0,2.0,,100.0,0.0,0.0,True,1.03,100.0,5e-06,10.0,True,False,10.0,entity,True,True,50.0,1000.0,False,0.0,5.47945205479452,25.844881245793257,0.13986951614440515,0.06545488371834655,0.04004346344596142,0.85030005601999,0.9150049518071643,0.5256206009923963,0.5982386494520467,0.3886430935006369,14.789301847021514,0.09872858661257179,0.042483905067431244,0.025938988763503087,0.8932523444573486,0.9413934641365365,0.6171146002419834,0.5800692493697087,0.4883004922980528,0.04883538229652112,0.0261785696962845,0.012161163688691055,0.4101337056160745,0.6021043590294181,0.6942733990147784,0.4354166666666667,0.4354166666666667,0.65625,0.5469572368421052,0.5640625,0.34430885595296423
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,100.0,0.0,0.0,True,1.03,100.0,1e-08,3.0,True,False,10.0,entity,True,True,50.0,1000.0,False,0.0,100.0,19.658614220966214,0.10025391347142626,0.03869832438910012,0.02230312683696476,0.8909845296338089,0.9428802936920561,0.670130868757167,0.5975616340206438,0.40735974584891926,11.346500410995889,0.07002680314723417,0.025102197264596914,0.014377381057661039,0.9229613518429142,0.9604832067680306,0.7659378441824607,0.5761554611631599,0.5083968934078471,0.11654339186320974,0.08847623890087347,0.06128271076047992,0.4840966152962022,0.7097917114021902,0.6996613300492611,0.4425154320987654,0.4425154320987654,0.6640625,0.551110197368421,0.54453125,0.3628200024497795
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,100.0,0.0,0.0,True,1.03,100.0,1e-07,3.0,True,False,10.0,entity,True,True,50.0,1000.0,False,0.0,8.274442538593481,24.45286651630743,0.09733903047845446,0.036168203875714865,0.019691981618108558,0.8929837824685736,0.9460428106406132,0.6089010622418245,0.5771465995530113,0.3941786700738138,14.064691635125556,0.06952028512726897,0.02407345014316867,0.013473487936665543,0.9232093092972842,0.9607397317545076,0.7011236255249726,0.5707509318195966,0.49396541773664404,0.06896172413487281,0.044036593995454384,0.024357157608538307,0.4385978811563138,0.6553575263044878,0.6958897783251232,0.43425925925925923,0.43425925925925923,0.6640625,0.549547697368421,0.535546875,0.3542610852523273
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,16.0,50.0,0.0001,ft,8.0,16.0,15000.0,4.0,,100.0,0.0,0.0,True,1.03,100.0,1e-08,10.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,23.7168,58.26091409464174,0.07932114145100745,0.025216470760718257,0.011674136537605935,0.9066143306012229,0.948263306937075,0.4537004787199704,0.5749528949503019,0.38934632964955745,24.26438376893995,0.05899401709299149,0.018497595642316733,0.009167132243744403,0.9309923888716264,0.9621157200433078,0.6266426552920986,0.5640110456611056,0.48627631636860547,0.04512134513537036,0.019018242966663695,0.005654342815063133,0.3741772842658955,0.7025666666666667,0.6885006157635468,0.44344135802469137,0.44344135802469137,0.671875,0.5521792763157894,0.547265625,0.35157398334149925
False,./data/extract_challenge/filtered.npy,EleutherAI/gpt-neo-1.3B,EleutherAI/gpt-neo-125m,/nlp/data/riverd/unlearn,soft_unlikelihood,0.1,relu2,0.0,0.25,32.0,50.0,0.0001,lora,8.0,16.0,15000.0,2.0,,100.0,0.0,0.0,True,1.03,100.0,5e-06,10.0,False,False,10.0,entity,False,True,50.0,1000.0,False,0.0,1.9189765458422174,26.978532417004768,0.14017721594753893,0.06687525677155347,0.041517618740411696,0.8501770463618743,0.9126766057425165,0.48590283505019705,0.5926339066911073,0.3943272386414643,16.328536463145408,0.10326838735210413,0.04789661675362332,0.031100515950541235,0.8883438490332095,0.9345147515414529,0.6004795314794752,0.5817947691655254,0.4852967433115668,0.06740351379243427,0.03272330414415767,0.01070894302991334,0.41014289197817366,0.6444666666666666,0.6921182266009853,0.430787037037037,0.430787037037037,0.6875,0.5401726973684211,0.57578125,0.3454265678588927
